"","Year","Candidate1","Candidate2","Candidate3","Candidate4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",1824,"ADAMS","JACKSON","CLAY","CRAWFORD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1828,"ANDREW JACKSON","JOHN Q. ADAMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1832,"ANDREW JACKSON","HENRY CLAY","WILLIAM WIRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1836,"MARTIN VAN BUREN","WILLIAM HENRY HARRISON","HUGH LAWSON WHITE","DANIEL WEBSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1840,"WILLIAM H. HARRISON","MARTIN VAN BUREN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1844,"JAMES K. POLK","HENRY CLAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1848,"ZACHARY TAYLOR","LEWIS CASS","MARTIN VAN BUREN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1852,"FRANKLIN PIERCE","WINFIELD SCOTT","JOHN P. HALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1856,"JAMES BUCHANAN","JOHN C. FREMONT","MILLARD FILLMORE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1860,"ABRAHAM LINCOLN","STEPHEN A. DOUGLAS","JOHN C. BRECKINRIDGE","JOHN BELL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1864,"ABRAHAM LINCOLN","GEORGE B. McCLELLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1868,"ULYSSES S. GRANT","HORATIO SEYMOUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1872,"ULYSSES S. GRANT","HORACE GREEFLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1876,"RUTHERFORD B. HAYES","SAMUEL J. TILDEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1880,"JAMES A. GARFIELD","WINFIELD S. HANCOCK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1884,"GROVER CLEVELAND","JAMES G. BLAINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1888,"BENJAMIN HARRISON","GROVER CLEVELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1892,"GROVER CLEVELAND","BENJAMIN HARRISON","JAMES B. WEAVER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1896,"WILLIAM McKINLEY","WILLIAM J. BRYAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1900,"WILLIAM McKINLEY","WILLIAM J. BRYAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1904,"THEODORE ROOSEVELT","ALTON B. PARKER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1908,"WILLIAM H. TAFT","WILLIAM J. BRYAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1912,"WOODROW WILSON","THEODORE ROOSEVELT","WILLIAM H. TAFT","EUGENE V. DEBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1916,"WOODROW WILSON","CHARLES E. HUGHES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1920,"WARREN G. HARDING","JAMES M. COX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1924,"CALVIN COOLIDGE","JOHN W. DAVIS","ROBERT M. LA FOLLETTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1928,"HERBERT HOOVER","ALFRED E. SMITH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1932,"FRANKLIN D. ROOSEVELT","HERBERT C. HOOVER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1936,"FRANKLIN D. ROOSEVELT","ALFRED M. LANDON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1940,"FRANKLIN D. ROOSEVELT","WENDELL WILLKIE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1944,"FRANKLIN D. ROOSEVELT","THOMAS E. DEWEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1948,"HARRY S TRUMAN","THOMAS E. DEWEY","STROM THURMOND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1952,"DWIGHT D. EISENHOWER","ADLAI E. STEVENSON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1956,"DWIGHT D. EISENHOWER","ADLAI E. STEVENSON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1960,"JOHN F. KENNEDYDemocrat","RICHARD M. NIXON
    Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1964,"LYNDON B. JOHNSON","BARRY M. GOLDWATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1968,"RICHARD NIXON Republican","HUBERT HUMPHREY Democrat","GEORGE WALLACE American Independent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1972,"RICHARD M. NIXON","GEORGE McGOVERN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1976,"JIMMY CARTER","GERALD R. FORD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1980,"RONALD REAGAN
     Republican","JIMMY CARTERDemocrat","JOHN ANDERSONIndependent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1984,"RONALD REAGAN","WALTER MONDALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1988,"GEORGE BUSH","MICHAEL S. DUKAKIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1992,"BILL CLINTONDemocratic","GEORGE BUSHRepublican","H. ROSS PEROTIndependent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610",1996,"BILL CLINTONDemocratic","ROBERT DOLE Republican","H. ROSS PEROTReform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611",2000,"GEORGE W. BUSHRepublican","AL GOREDemocrat","RALPH NADERGreen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612",2004,"GEORGE W. BUSHRepublican","JOHN KERRYDemocrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613",2008,"BARACK OBAMA Democrat","JOHN McCAIN Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2012,"BARACK OBAMA Democrat","MITT ROMNEYRepublican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2016,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
