"","State","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","census1990"
"1","United States","272690813","270248003","267783607","265228572","262803276","260327021","257782608","255029699","252153092","249464396","248790925"
"2","Northeast","51829962","51685676","51591325","51520274","51443931","51360744","51253425","51078292","50957878","50875639","50828313"
"3","New England","13495933","13428630","13378075","13328837","13282700","13242751","13215512","13187671","13200917","13220022","13206943"
"4","Middle Atlantic","38334029","38257046","38213250","38191437","38161231","38117993","38037913","37890621","37756961","37655617","37621370"
"5","Midwest","63242284","62950532","62675478","62371519","61991920","61572173","61176124","60711099","60217499","59765440","59669320"
"6","East North Central","44442146","44257498","44082062","43887955","43629122","43342048","43082892","42766414","42419415","42076640","42009114"
"7","West North Central","18800138","18693034","18593416","18483564","18362798","18230125","18093232","17944685","17798084","17688800","17660206"
"8","South","96468455","95348823","94176777","92947197","91777714","90573372","89329642","88101757","86892174","85731747","85455793"
"9","South Atlantic","49560021","48926635","48293338","47612747","46974427","46349183","45688915","45062338","44430356","43757262","43571473"
"10","East South Central","16582841","16469361","16338356","16194955","16049935","15882646","15706642","15519819","15343827","15209144","15179959"
"11","West South Central","30325593","29952827","29545083","29139495","28753352","28341543","27934085","27519600","27117991","26765341","26704361"
"12","West","61150112","60262972","59340027","58389582","57589711","56820732","56023417","55138551","54085541","53091570","52837499"
"13","Mountain","17127479","16804614","16476792","16114351","15741906","15306988","14835514","14412687","14038554","13716309","13658794"
"14","Pacific","44022633","43458358","42863235","42275231","41847805","41513744","41187903","40725864","40046987","39375261","39178705"
"15","Alabama","4369862","4351037","4320281","4290403","4262731","4232965","4193114","4139269","4091025","4048508","4040389"
"16","Alaska","619500","615205","608846","604918","601345","600624","596993","587073","569273","553120","550043"
"17","Arizona","4778332","4667277","4552207","4432308","4306908","4147561","3993390","3867333","3762394","3679056","3665339"
"18","Arkansas","2551373","2538202","2524007","2504858","2480121","2450605","2423743","2394098","2370666","2354343","2350624"
"19","California","33145121","32682794","32217708","31780829","31493525","31317179","31147208","30875920","30414114","29950111","29811427"
"20","Colorado","4056133","3968967","3891293","3812716","3738061","3653910","3560884","3459995","3367567","3303862","3294473"
"21","Connecticut","3282031","3272563","3268514","3267030","3265293","3268346","3272325","3274997","3288640","3289056","3287116"
"22","Delaware","753538","744066","735024","727090","718265","708416","699475","690158","680495","669063","666168"
"23","District of Columbia","519000","521426","528752","538273","551273","564982","576358","584183","593239","603814","606900"
"24","Florida","15111244","14908230","14683350","14426911","14185403","13961798","13713593","13504775","13289497","13018365","12938071"
"25","Georgia","7788240","7636522","7486094","7332225","7188538","7045900","6894092","6759474","6621279","6506531","6478149"
"26","Hawaii","1185497","1190472","1189322","1184434","1180490","1173903","1161508","1149926","1131412","1112703","1108229"
"27","Idaho","1251700","1230923","1210638","1187706","1165000","1135459","1101204","1066490","1038915","1011882","1006734"
"28","Illinois","12128370","12069774","12011509","11953003","11884935","11804986","11725984","11635197","11535973","11446979","11430602"
"29","Indiana","5942901","5907617","5872370","5834908","5791819","5745626","5701965","5648649","5602062","5555097","5544156"
"30","Iowa","2869413","2861025","2854396","2848473","2840860","2829422","2820525","2806923","2791227","2779769","2776831"
"31","Kansas","2654052","2638667","2616339","2598266","2586942","2569118","2547605","2526042","2495209","2480683","2477588"
"32","Kentucky","3960825","3934310","3907816","3881051","3855248","3823215","3792288","3756358","3714686","3692584","3686892"
"33","Louisiana","4372035","4362758","4351390","4338763","4327978","4306500","4284749","4270849","4240950","4219179","4221826"
"34","Maine","1253040","1247554","1245215","1241436","1237438","1237687","1238256","1235748","1235439","1231296","1227928"
"35","Maryland","5171634","5130072","5092914","5057142","5023650","4985411","4942504","4902545","4856176","4797431","4780753"
"36","Massachusetts","6175169","6144407","6115476","6085393","6062335","6031352","6010884","5993474","5998652","6018664","6016425"
"37","Michigan","9863775","9820231","9785450","9739184","9659871","9584481","9529240","9470323","9395022","9310462","9295287"
"38","Minnesota","4775508","4726411","4687726","4647723","4605445","4566028","4521709","4471503","4427429","4387283","4375665"
"39","Mississippi","2768619","2751335","2731826","2709925","2690788","2663450","2635574","2610193","2591230","2577426","2575475"
"40","Missouri","5468338","5437562","5407113","5367888","5324610","5281206","5237757","5193686","5157770","5126370","5116901"
"41","Montana","882779","879533","878706","876656","868522","854923","839876","822436","807837","799824","799065"
"42","Nebraska","1666028","1660772","1656042","1647657","1635142","1621551","1612149","1602406","1590805","1580664","1578417"
"43","Nevada","1809253","1743772","1675581","1596476","1525777","1456388","1380197","1330694","1285046","1218629","1201675"
"44","New Hampshire","1201134","1185823","1173239","1160768","1145604","1133054","1122191","1112766","1107055","1111831","1109252"
"45","New Jersey","8143412","8095542","8054178","8009624","7965523","7918796","7874891","7827770","7784269","7757158","7747750"
"46","New Mexico","1739844","1733535","1722939","1706151","1682417","1653329","1614937","1580750","1547115","1519933","1515069"
"47","New York","18196601","18159175","18143184","18143805","18150928","18156652","18140894","18082032","18029532","18002855","17990778"
"48","North Carolina","7650789","7545828","7428672","7307658","7185403","7060959","6947412","6831850","6748135","6656987","6632448"
"49","North Dakota","633666","637808","640945","642858","641548","639762","637229","635427","634199","637364","638800"
"50","Ohio","11256654","11237752","11212498","11187032","11155493","11111451","11070385","11007609","10933683","10861837","10847115"
"51","Oklahoma","3358044","3339478","3314259","3289634","3265547","3246119","3228829","3204174","3166471","3147105","3145576"
"52","Oregon","3316154","3282055","3243254","3195087","3141421","3087142","3034490","2973934","2918745","2858547","2842337"
"53","Pennsylvania","11994016","12002329","12015888","12038008","12044780","12042545","12022128","11980819","11943160","11895604","11882842"
"54","Rhode Island","990819","987704","986966","987858","989203","993412","997852","1000571","1003990","1004649","1003464"
"55","South Carolina","3885736","3839578","3790066","3738974","3699943","3666456","3634507","3600576","3559470","3499064","3486310"
"56","South Dakota","733133","730789","730855","730699","728251","723038","716258","708698","701445","696667","696004"
"57","Tennessee","5483535","5432679","5378433","5313576","5241168","5163016","5085666","5013999","4946886","4890626","4877203"
"58","Texas","20044141","19712389","19355427","19006240","18679706","18338319","17996764","17650479","17339904","17044714","16986335"
"59","Utah","2129836","2100562","2065397","2022253","1976774","1930436","1875993","1821498","1771941","1729722","1722850"
"60","Vermont","593740","590579","588665","586352","582827","578900","574004","570115","567141","564526","562758"
"61","Virginia","6872912","6789225","6732878","6665491","6601392","6536771","6464795","6383315","6283853","6213526","6189197"
"62","Washington","5756361","5687832","5604105","5509963","5431024","5334896","5247704","5139011","5013443","4900780","4866669"
"63","West Virginia","1806928","1811688","1815588","1818983","1820560","1818490","1816179","1805462","1798212","1792481","1793477"
"64","Wisconsin","5250446","5222124","5200235","5173828","5137004","5095504","5055318","5004636","4952675","4902265","4891954"
"65","Wyoming","479602","480045","480031","480085","478447","474982","469033","463491","457739","453401","453589"
